"LOCID" "description" "feature"
"98" "LOC105319885" "tolloid-like protein 1" "genome"
"99" "LOC117681709" "uncharacterized protein LOC117681709" "genome"
"100" "LOC117681711" "uncharacterized protein LOC117681711 isoform X1" "genome"
"101" "LOC105319886" "VWFA and cache domain-containing protein 1 isoform X2" "genome"
"102" "LOC105342315" "uncharacterized protein LOC105342315" "genome"
"103" "LOC109618002" "neuronal acetylcholine receptor subunit alpha-3-like" "genome"
"104" "LOC117687129" "neuronal acetylcholine receptor subunit alpha-2-like" "genome"
"105" "LOC105335912" "VWFA and cache domain-containing protein 1" "genome"
"106" "LOC105336594" "VWFA and cache domain-containing protein 1" "genome"
"107" "LOC117684936" "VWFA and cache domain-containing protein 1-like" "genome"
"108" "LOC105335931" "VWFA and cache domain-containing protein 1 isoform X1" "genome"
"109" "LOC105335914" "VWFA and cache domain-containing protein 1 isoform X1" "genome"
"110" "LOC105337473" "VWFA and cache domain-containing protein 1-like" "genome"
"111" "LOC117687134" "uncharacterized protein LOC117687134" "genome"
"112" "LOC117683566" "VWFA and cache domain-containing protein 1-like" "genome"
"113" "LOC117683687" "zinc finger protein 768-like" "genome"
"114" "LOC117680453" "uncharacterized protein LOC117680453" "genome"
"115" "LOC117683639" "uncharacterized protein LOC117683639" "genome"
"116" "LOC117683649" "uncharacterized protein LOC117683649" "genome"
"117" "LOC105337358" "uncharacterized protein LOC105337358 isoform X1" "genome"
"118" "LOC117683688" "uncharacterized protein LOC117683688" "genome"
"119" "LOC117683616" "uncharacterized protein LOC117683616 isoform X1" "genome"
"120" "LOC105337393" "uncharacterized protein LOC105337393" "genome"
"121" "LOC109619877" "uncharacterized protein LOC109619877" "genome"
"122" "LOC117683699" "F-box only protein 9-like" "genome"
"123" "LOC117683701" "uncharacterized protein LOC117683701" "genome"
"124" "LOC117683678" "uncharacterized protein LOC117683678 isoform X3" "genome"
"125" "LOC105337365" "zinc finger protein 33A isoform X2" "genome"
"126" "LOC105327168" "VWFA and cache domain-containing protein 1" "genome"
"127" "LOC117687137" "mucin-6-like" "genome"
"128" "LOC105327195" "zinc finger protein 768" "genome"
"129" "LOC105326744" "uncharacterized protein LOC105326744" "genome"
"130" "LOC105326746" "uncharacterized protein LOC105326746" "genome"
"131" "LOC117680455" "uncharacterized protein LOC117680455 isoform X1" "genome"
"132" "LOC105337361" "uncharacterized protein LOC105337361" "genome"
"133" "LOC105337360" "tripartite motif-containing protein 45 isoform X1" "genome"
"134" "LOC117683607" "uncharacterized protein LOC117683607" "genome"
"135" "LOC117683600" "uncharacterized protein LOC117683600" "genome"
"136" "LOC117683719" "uncharacterized protein LOC117683719" "genome"
"137" "LOC105337362" "F-box only protein 9" "genome"
"138" "LOC105337363" "uncharacterized protein LOC105337363" "genome"
"139" "LOC117683663" "uncharacterized protein LOC117683663 isoform X1" "genome"
"140" "LOC117680428" "zinc finger protein 141-like isoform X2" "genome"
"141" "LOC105337368" "ubiquitin carboxyl-terminal hydrolase MINDY-2" "genome"
"142" "LOC105337367" "uncharacterized protein LOC105337367" "genome"
"143" "LOC105337369" "recombining binding protein suppressor of hairless isoform X1" "genome"
"144" "LOC109618958" "uncharacterized protein LOC109618958" "genome"
"145" "LOC105342725" "uncharacterized protein LOC105342725" "genome"
"146" "LOC105337370" "uncharacterized protein LOC105337370 isoform X1" "genome"
"147" "LOC105337371" "double-strand-break repair protein rad21 homolog isoform X2" "genome"
"148" "LOC105337373" "phospholipase ABHD3" "genome"
"149" "LOC105337374" "uncharacterized protein C2orf50 isoform X5" "genome"
"150" "LOC105337394" "acetylcholine receptor subunit alpha" "genome"
"151" "LOC105337375" "tachykinin-like peptides receptor 99D" "genome"
"152" "LOC105337376" "probable protein S-acyltransferase 6" "genome"
"153" "LOC105337377" "probable protein S-acyltransferase 14" "genome"
"154" "LOC105337379" "glutamate--cysteine ligase catalytic subunit" "genome"
"155" "LOC105324274" "myb-like protein X" "genome"
"156" "LOC105331846" "protein draper isoform X1" "genome"
"157" "LOC105331845" "NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial" "genome"
"158" "LOC105331844" "uncharacterized protein LOC105331844" "genome"
"159" "LOC105323503" "uncharacterized protein LOC105323503" "genome"
"160" "LOC105331842" "tyrosine-protein kinase BAZ1B isoform X5" "genome"
"161" "LOC105331841" "flap endonuclease GEN homolog 1" "genome"
"162" "LOC109619196" "complement C1q-like protein 4" "genome"
"163" "LOC105331840" "uncharacterized protein LOC105331840 isoform X1" "genome"
"164" "LOC109619190" "uncharacterized protein LOC109619190" "genome"
"165" "LOC105331839" "DNA damage-regulated autophagy modulator protein 2" "genome"
"166" "LOC105331837" "peroxidase-like protein" "genome"
"167" "LOC105331854" "peroxidase-like protein" "genome"
"168" "LOC117687154" "peroxidase-like protein" "genome"
"169" "LOC105341168" "peroxidase-like protein" "genome"
"170" "LOC117687155" "uncharacterized protein LOC117687155" "genome"
"171" "LOC117682707" "peroxidase-like protein" "genome"
"172" "LOC105338364" "calmodulin-1" "genome"
"173" "LOC105338363" "calmodulin" "genome"
"174" "LOC105338361" "calmodulin" "genome"
"175" "LOC105338360" "calmodulin" "genome"
"176" "LOC105338369" "calmodulin-like" "genome"
"177" "LOC105338359" "ELKS/Rab6-interacting/CAST family member 1 isoform X3" "genome"
"178" "LOC105338358" "vacuolar protein sorting-associated protein 11 homolog" "genome"
"179" "LOC105338357" "potassium voltage-gated channel protein Shaw isoform X14" "genome"
"180" "LOC105338356" "neo-calmodulin isoform X3" "genome"
"181" "LOC105338354" "neural cell adhesion molecule L1-like protein isoform X1" "genome"
"182" "LOC105338355" "low-density lipoprotein receptor-related protein 5" "genome"
"183" "LOC105338353" "DAZ-associated protein 2 isoform X2" "genome"
"184" "LOC105326415" "rho-related protein racA" "genome"
"185" "LOC105326414" "DBH-like monooxygenase protein 1 homolog" "genome"
"186" "LOC105326417" "protein gustavus isoform X4" "genome"
"187" "LOC105326416" "rho-related protein racA isoform X1" "genome"
"188" "LOC109617077" "rho-related protein racA isoform X2" "genome"
"189" "LOC105326418" "60S ribosomal protein L23" "genome"
"190" "LOC117687163" "rho-related protein racA-like" "genome"
"191" "LOC117682815" "60S ribosomal protein L23" "genome"
"192" "LOC105326419" "LIM and SH3 domain protein F42H10.3 isoform X1" "genome"
"193" "LOC105326420" "uncharacterized protein LOC105326420" "genome"
"194" "LOC105326424" "interferon-induced protein 44-like" "genome"
"195" "LOC105326423" "interferon-induced protein 44-like" "genome"
"196" "LOC105326425" "uncharacterized protein LOC105326425" "genome"
"197" "LOC105326426" "X-ray repair cross-complementing protein 5" "genome"
"198" "LOC105326427" "double-stranded RNA-specific editase 1 isoform X1" "genome"
"199" "LOC105326456" "uncharacterized protein LOC105326456" "genome"
"200" "LOC105326429" "oxysterol-binding protein-related protein 11" "genome"
"201" "LOC105326430" "uncharacterized protein LOC105326430" "genome"
"202" "LOC105326431" "uncharacterized protein LOC105326431 isoform X2" "genome"
"203" "LOC105326432" "NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial" "genome"
"204" "LOC105326457" "uncharacterized protein LOC105326457" "genome"
"205" "LOC105337119" "uncharacterized protein LOC105337119" "genome"
"206" "LOC105326433" "homeobox protein Hox-A1" "genome"
"207" "LOC105326436" "uncharacterized protein LOC105326436" "genome"
"208" "LOC105326437" "homeobox protein Hox-D3" "genome"
"209" "LOC105326439" "homeobox protein Hox-A5" "genome"
"210" "LOC105326440" "homeobox protein Hox-C5a" "genome"
"211" "LOC109619795" "uncharacterized protein LOC109619795" "genome"
"212" "LOC105340021" "homeobox protein Hox-B7" "genome"
"213" "LOC105340018" "homeobox protein Hox-A7" "genome"
"214" "LOC105347995" "homeobox protein Hox-B6a" "genome"
"215" "LOC105331616" "uncharacterized protein LOC105331616 isoform X2" "genome"
"216" "LOC117680311" "homeobox protein abdominal-B-like" "genome"
"217" "LOC105323257" "homeobox protein abdominal-B" "genome"
"218" "LOC105323256" "homeobox protein Hox-A9 isoform X1" "genome"
"219" "LOC105323255" "coatomer subunit zeta-1 isoform X2" "genome"
"220" "LOC105323254" "SWI/SNF complex subunit SMARCC2 isoform X1" "genome"
"221" "LOC105323253" "FMRFamide receptor" "genome"
"222" "LOC109618019" "glucoside xylosyltransferase 2-like isoform X2" "genome"
"223" "LOC105323251" "thioredoxin domain-containing protein 17" "genome"
"224" "LOC105323250" "uncharacterized protein LOC105323250" "genome"
"225" "LOC117680481" "uncharacterized protein LOC117680481 isoform X1" "genome"
"226" "LOC105323249" "uncharacterized protein LOC105323249 isoform X1" "genome"
"227" "LOC105323248" "transmembrane protein 18" "genome"
"228" "LOC105323247" "gamma-tubulin complex component 6" "genome"
"229" "LOC105323246" "glycine-rich protein 23-like" "genome"
"230" "LOC105323245" "mucin-22-like" "genome"
"231" "LOC105323244" "uncharacterized protein LOC105323244" "genome"
"232" "LOC109619489" "uncharacterized protein LOC109619489" "genome"
"233" "LOC105323243" "nascent polypeptide-associated complex subunit alpha, muscle-specific form" "genome"
"234" "LOC105323242" "UPF0748 protein YngK isoform X1" "genome"
"235" "LOC105323241" "uncharacterized protein LOC105323241" "genome"
"236" "LOC105323240" "uncharacterized protein LOC105323240 isoform X1" "genome"
"237" "LOC117682288" "probable L-cysteine desulfhydrase, chloroplastic isoform X1" "genome"
"238" "LOC105323290" "putative L-cysteine desulfhydrase 1" "genome"
"239" "LOC105323235" "hercynylcysteine sulfoxide lyase" "genome"
"240" "LOC105323233" "uncharacterized protein LOC105323233" "genome"
"241" "LOC105323234" "uncharacterized protein LOC105323234" "genome"
"242" "LOC105323232" "NADH-cytochrome b5 reductase 3 isoform X2" "genome"
"243" "LOC105323229" "tumor protein p53-inducible protein 11 isoform X3" "genome"
"244" "LOC105323227" "DNA ligase 1 isoform X3" "genome"
"245" "LOC105323226" "FK506-binding protein 2" "genome"
"246" "LOC105323225" "uncharacterized protein LOC105323225" "genome"
"247" "LOC105323223" "uncharacterized protein LOC105323223 isoform X1" "genome"
"248" "LOC117682392" "uncharacterized protein LOC117682392 isoform X2" "genome"
"249" "LOC117682405" "DNA endonuclease RBBP8-like" "genome"
"250" "LOC105323221" "dual specificity tyrosine-phosphorylation-regulated kinase 4 isoform X2" "genome"
"251" "LOC105323220" "cAMP-regulated phosphoprotein 21 isoform X2" "genome"
"252" "LOC105323219" "coatomer subunit alpha" "genome"
"253" "LOC105323217" "vacuolar protein sorting-associated protein 13B isoform X2" "genome"
"254" "LOC105323216" "glutamate receptor ionotropic, kainate 3" "genome"
"255" "LOC117682469" "uncharacterized protein LOC117682469 isoform X1" "genome"
"256" "LOC105323215" "glutamate receptor ionotropic, kainate 3 isoform X1" "genome"
"257" "LOC105323214" "potassium voltage-gated channel protein Shaw isoform X3" "genome"
"258" "LOC105323213" "glutathione hydrolase 1 proenzyme isoform X1" "genome"
"259" "LOC105323212" "peroxisome proliferator-activated receptor delta" "genome"
"260" "LOC109617943" "uncharacterized protein LOC109617943" "genome"
"261" "LOC105335743" "uncharacterized protein LOC105335743" "genome"
"262" "LOC117684829" "uncharacterized protein LOC117684829" "genome"
"263" "LOC117687183" "uncharacterized protein LOC117687183" "genome"
"264" "LOC109620475" "uncharacterized protein LOC109620475" "genome"
"265" "LOC109620474" "uncharacterized protein LOC109620474" "genome"
"266" "LOC105342485" "uncharacterized protein LOC105342485" "genome"
"267" "LOC105345080" "uncharacterized protein LOC105345080" "genome"
"268" "LOC105342484" "uncharacterized protein LOC105342484 isoform X3" "genome"
"269" "LOC105342483" "proline-rich transmembrane protein 1-like" "genome"
"270" "LOC105342481" "proline-rich transmembrane protein 1-like" "genome"
"271" "LOC117684855" "synapse differentiation-inducing gene protein 1-like" "genome"
"272" "LOC105322226" "uncharacterized protein LOC105322226" "genome"
"273" "LOC105345571" "transmembrane protein 91" "genome"
"274" "LOC105319020" "uncharacterized protein LOC105319020" "genome"
"275" "LOC117680370" "proline-rich transmembrane protein 1-like" "genome"
"276" "LOC105319012" "A disintegrin and metalloproteinase with thrombospondin motifs 16-like" "genome"
"277" "LOC105319272" "A disintegrin and metalloproteinase with thrombospondin motifs 16-like" "genome"
"278" "LOC105319006" "uncharacterized protein LOC105319006" "genome"
"279" "LOC105318987" "prolyl 4-hydroxylase 1 isoform X2" "genome"
"280" "LOC105318976" "bifunctional arginine demethylase and lysyl-hydroxylase JMJD6-like" "genome"
"281" "LOC105318939" "ankyrin repeat and SOCS box protein 2 isoform X1" "genome"
"282" "LOC105318930" "pseudouridine-metabolizing bifunctional protein C1861.05" "genome"
"283" "LOC105318923" "uncharacterized protein LOC105318923" "genome"
"284" "LOC105319267" "F-box only protein 10" "genome"
"285" "LOC105318875" "potassium channel subfamily T member 2 isoform X1" "genome"
"286" "LOC105318868" "uncharacterized protein LOC105318868 isoform X1" "genome"
"287" "LOC105318860" "ras-related protein Rab-20-like" "genome"
"288" "LOC105318849" "acetylcholinesterase-like" "genome"
"289" "LOC105318841" "deleted in malignant brain tumors 1 protein-like" "genome"
"290" "LOC105318825" "serine/arginine repetitive matrix protein 1 isoform X2" "genome"
"291" "LOC109617424" "uncharacterized protein LOC109617424" "genome"
"292" "LOC117684897" "uncharacterized protein LOC117684897" "genome"
"293" "LOC109618744" "P2X purinoceptor 7" "genome"
"294" "LOC105346926" "uncharacterized protein LOC105346926" "genome"
"295" "LOC117684907" "uncharacterized protein LOC117684907" "genome"
"296" "LOC117684908" "uncharacterized protein LOC117684908" "genome"
"297" "LOC117687192" "uncharacterized protein LOC117687192" "genome"
"298" "LOC105342026" "LOW QUALITY PROTEIN: cytosolic non-specific dipeptidase" "genome"
"299" "LOC117690252" "uncharacterized protein LOC117690252" "genome"
"300" "LOC105342027" "cytosolic non-specific dipeptidase-like isoform X1" "genome"
"301" "LOC109620420" "sodium/potassium/calcium exchanger 1-like" "genome"
"302" "LOC105342022" "calponin homology domain-containing protein DDB_G0272472" "genome"
"303" "LOC105342021" "uncharacterized protein LOC105342021" "genome"
"304" "LOC105342020" "protein pitchfork" "genome"
"305" "LOC105342019" "general transcription factor IIH subunit 1" "genome"
"306" "LOC105342018" "MOXD1 homolog 1" "genome"
"307" "LOC105342017" "vesicular glutamate transporter 2" "genome"
"308" "LOC105342016" "NFX1-type zinc finger-containing protein 1" "genome"
"309" "LOC105342014" "GTPase HRas" "genome"
"310" "LOC105342013" "zinc finger protein 675-like" "genome"
"311" "LOC105342012" "uncharacterized protein LOC105342012" "genome"
"312" "LOC105340508" "protein mono-ADP-ribosyltransferase PARP12 isoform X1" "genome"
"313" "LOC105340509" "uncharacterized protein LOC105340509" "genome"
"314" "LOC109620264" "uncharacterized protein LOC109620264 isoform X10" "genome"
"315" "LOC105340512" "glyceraldehyde-3-phosphate dehydrogenase" "genome"
"316" "LOC105340513" "caprin-1 isoform X1" "genome"
"317" "LOC105340515" "uncharacterized protein LOC105340515 isoform X1" "genome"
"318" "LOC117687203" "glutamic acid-rich protein-like" "genome"
"319" "LOC105340516" "serine/threonine-protein kinase BRSK2" "genome"
"320" "LOC105340518" "uncharacterized protein LOC105340518 isoform X1" "genome"
"321" "LOC105340523" "ferredoxin-fold anticodon-binding domain-containing protein 1" "genome"
"322" "LOC105340522" "uncharacterized protein LOC105340522 isoform X2" "genome"
"323" "LOC105340521" "protein SPT2 homolog" "genome"
"324" "LOC105340524" "leucine-rich repeat-containing protein 72" "genome"
"325" "LOC105340525" "uncharacterized protein LOC105340525" "genome"
"326" "LOC105340526" "cytochrome P450 27C1" "genome"
"327" "LOC117680419" "uncharacterized protein LOC117680419" "genome"
"328" "LOC105340527" "uncharacterized protein LOC105340527" "genome"
"329" "LOC117692139" "uncharacterized protein LOC117692139" "genome"
"330" "LOC105331897" "uncharacterized protein LOC105331897" "genome"
"331" "LOC109617279" "uncharacterized protein LOC109617279 isoform X1" "genome"
"332" "LOC105317484" "uncharacterized protein LOC105317484" "genome"
"333" "LOC109617282" "uncharacterized protein LOC109617282 isoform X3" "genome"
"334" "LOC105317485" "uncharacterized protein LOC105317485" "genome"
"335" "LOC105317487" "coadhesin isoform X2" "genome"
"336" "LOC105327170" "coadhesin-like isoform X10" "genome"
"337" "LOC105317489" "uncharacterized protein LOC105317489 isoform X1" "genome"
"338" "LOC105317491" "uncharacterized protein LOC105317491 isoform X1" "genome"
"339" "LOC105317492" "KRR1 small subunit processome component homolog" "genome"
"340" "LOC105317493" "prolyl 4-hydroxylase subunit alpha-1-like isoform X1" "genome"
"341" "LOC105317494" "chitin synthase chs-2" "genome"
"342" "LOC105317495" "prolyl 4-hydroxylase subunit alpha-1" "genome"
"343" "LOC105317496" "MORN repeat-containing protein 2 isoform X8" "genome"
"344" "LOC105317497" "dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial" "genome"
"345" "LOC105317498" "uncharacterized protein LOC105317498" "genome"
"346" "LOC105317501" "transmembrane 7 superfamily member 3 isoform X2" "genome"
"347" "LOC105317500" "uridine 5'-monophosphate synthase" "genome"
"348" "LOC105317502" "DNA-directed RNA polymerase II subunit RPB4" "genome"
"349" "LOC105317504" "uncharacterized protein LOC105317504" "genome"
"350" "LOC105317526" "uncharacterized protein LOC105317526" "genome"
"351" "LOC105317505" "uncharacterized protein LOC105317505" "genome"
"352" "LOC105317506" "40S ribosomal protein S11" "genome"
"353" "LOC105317507" "uncharacterized protein LOC105317507" "genome"
"354" "LOC105345332" "heme transporter hrg1-A isoform X2" "genome"
"355" "LOC105345358" "transmembrane protein 245 isoform X3" "genome"
"356" "LOC105345333" "phosphoacetylglucosamine mutase" "genome"
"357" "LOC105345334" "uncharacterized protein LOC105345334" "genome"
"358" "LOC105345336" "26S proteasome non-ATPase regulatory subunit 9" "genome"
"359" "LOC105345337" "membrane progestin receptor gamma isoform X1" "genome"
"360" "LOC105329330" "succinate dehydrogenase assembly factor 3, mitochondrial" "genome"
"361" "LOC109618879" "sulfotransferase 1C4-like" "genome"
"362" "LOC105329332" "sulfotransferase family cytosolic 1B member 1" "genome"
"363" "LOC105329329" "uncharacterized protein LOC105329329" "genome"
"364" "LOC105329328" "uncharacterized protein LOC105329328" "genome"
"365" "LOC105329326" "uncharacterized protein LOC105329326 isoform X1" "genome"
"366" "LOC105329325" "UHRF1-binding protein 1-like isoform X1" "genome"
"367" "LOC105324474" "protein trapped in endoderm-1" "genome"
"368" "LOC105324473" "N66 matrix protein" "genome"
"369" "LOC105324472" "tetraspanin-4" "genome"
"370" "LOC105339389" "uncharacterized protein LOC105339389" "genome"
"371" "LOC105339388" "solute carrier organic anion transporter family member 4C1" "genome"
"372" "LOC109617286" "uncharacterized protein LOC109617286 isoform X1" "genome"
"373" "LOC105317558" "jmjC domain-containing protein E-like" "genome"
"374" "LOC105317560" "uncharacterized protein LOC105317560 isoform X2" "genome"
"375" "LOC105317561" "uncharacterized protein LOC105317561" "genome"
"376" "LOC105317562" "uncharacterized protein LOC105317562 isoform X3" "genome"
"377" "LOC105317566" "uncharacterized protein LOC105317566" "genome"
"378" "LOC117681262" "E3 ubiquitin-protein ligase TRIM71-like" "genome"
"379" "LOC117687209" "frizzled and smoothened-like protein O" "genome"
"380" "LOC117687218" "E3 ubiquitin-protein ligase TRIM71-like" "genome"
"381" "LOC105331442" "titin isoform X3" "genome"
"382" "LOC105331435" "homeobox protein 6 isoform X1" "genome"
"383" "LOC105328178" "titin" "genome"
"384" "LOC105320451" "putative uncharacterized transmembrane protein DDB_G0285049" "genome"
"385" "LOC117687229" "protein eyes shut homolog" "genome"
"386" "LOC117687238" "basement membrane-specific heparan sulfate proteoglycan core protein-like" "genome"
"387" "LOC117692829" "uncharacterized protein LOC117692829" "genome"
"388" "LOC105344537" "uncharacterized protein LOC105344537" "genome"
"389" "LOC105341790" "organic cation transporter protein isoform X2" "genome"
"390" "LOC105341780" "protocadherin Fat 3" "genome"
"391" "LOC105341764" "glycoprotein 3-alpha-L-fucosyltransferase A-like isoform X1" "genome"
"392" "LOC105341732" "uncharacterized protein LOC105341732 isoform X2" "genome"
"393" "LOC105341723" "hairy/enhancer-of-split related with YRPW motif protein 1" "genome"
"394" "LOC105341957" "origin recognition complex subunit 4" "genome"
"395" "LOC105317911" "zinc transporter 1 isoform X1" "genome"
"396" "LOC105317914" "oxysterol-binding protein-related protein 8 isoform X3" "genome"
"397" "LOC105318684" "uncharacterized protein LOC105318684" "genome"
"398" "LOC105317913" "RNA polymerase-associated protein CTR9 homolog" "genome"
"399" "LOC109617331" "uncharacterized protein LOC109617331" "genome"
"400" "LOC105317915" "uncharacterized protein LOC105317915" "genome"
"401" "LOC105317917" "protocadherin Fat 4" "genome"
"402" "LOC105319127" "protocadherin alpha-6 isoform X1" "genome"
"403" "LOC105319126" "uncharacterized protein LOC105319126 isoform X2" "genome"
"404" "LOC117692889" "uncharacterized protein LOC117692889 isoform X2" "genome"
"405" "LOC105319125" "dynein assembly factor 1, axonemal" "genome"
