id	gene_short_name
LOC117681707	uncharacterized LOC117681707_ncRNA
LOC105319882	uncharacterized LOC105319882
LOC105319883	diablo homolog, mitochondrial
LOC105319884	transmembrane emp24 domain-containing protein 1-like
LOC109617580	uncharacterized LOC109617580_ncRNA
LOC105319885	tolloid-like protein 1
LOC117681709	uncharacterized LOC117681709
LOC117681711	uncharacterized LOC117681711
LOC105319886	VWFA and cache domain-containing protein 1
LOC105319888	uncharacterized LOC105319888_ncRNA
LOC105319890	uncharacterized LOC105319890_ncRNA
LOC117690023	uncharacterized LOC117690023_ncRNA
LOC105342315	uncharacterized LOC105342315
LOC109618002	neuronal acetylcholine receptor subunit alpha-3-like
LOC117687129	neuronal acetylcholine receptor subunit alpha-2-like
LOC105336600	uncharacterized LOC105336600_ncRNA
LOC105335912	VWFA and cache domain-containing protein 1
LOC105336594	VWFA and cache domain-containing protein 1
LOC117684936	VWFA and cache domain-containing protein 1-like
LOC105335931	VWFA and cache domain-containing protein 1
LOC105335914	VWFA and cache domain-containing protein 1
LOC105337473	VWFA and cache domain-containing protein 1-like
LOC117687134	uncharacterized LOC117687134
LOC105348645	uncharacterized LOC105348645_ncRNA
LOC117683566	VWFA and cache domain-containing protein 1-like
LOC117683687	zinc finger protein 768-like
LOC117680453	uncharacterized LOC117680453
LOC117683639	uncharacterized LOC117683639
LOC117683649	uncharacterized LOC117683649
LOC105337358	hypothetical protein
LOC117683688	uncharacterized LOC117683688
LOC117683616	uncharacterized LOC117683616
LOC105337393	uncharacterized LOC105337393
LOC109619877	uncharacterized LOC109619877
LOC117683699	F-box only protein 9-like
LOC117683701	uncharacterized LOC117683701
LOC117683678	uncharacterized LOC117683678
LOC105337365	zinc finger protein 33A
LOC105327168	VWFA and cache domain-containing protein 1
LOC117687137	mucin-6-like
LOC105327195	zinc finger protein 768
LOC117683731	uncharacterized LOC117683731_ncRNA
LOC105326744	uncharacterized LOC105326744
LOC105326746	uncharacterized LOC105326746
LOC117680455	uncharacterized LOC117680455
LOC105337361	uncharacterized LOC105337361
LOC105337360	tripartite motif-containing protein 45
LOC117683736	uncharacterized LOC117683736_ncRNA
LOC117683607	uncharacterized LOC117683607
LOC117683745	uncharacterized LOC117683745_ncRNA
LOC117683600	uncharacterized LOC117683600
LOC117683719	uncharacterized LOC117683719
LOC105337362	F-box only protein 9
LOC105337363	uncharacterized LOC105337363
LOC117683663	uncharacterized LOC117683663
LOC117680428	zinc finger protein 33A-like
LOC105337368	ubiquitin carboxyl-terminal hydrolase MINDY-2
LOC105337367	uncharacterized LOC105337367
LOC105337369	recombining binding protein suppressor of hairless
LOC109618958	uncharacterized LOC109618958
LOC105342725	uncharacterized LOC105342725
LOC105337370	RING-H2 finger protein ATL34
LOC105337371	double-strand-break repair protein rad21 homolog
LOC105337373	phospholipase ABHD3
LOC105337374	Uncharacterized protein C2orf50
LOC105337394	acetylcholine receptor subunit alpha
LOC105337375	tachykinin-like peptides receptor 99D
LOC105337376	probable protein S-acyltransferase 6
LOC105337377	probable protein S-acyltransferase 14
LOC105337379	glutamate--cysteine ligase catalytic subunit
LOC105324274	myb-like protein X
LOC105331846	protein draper
LOC105331845	NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial
LOC105331844	uncharacterized LOC105331844
LOC105323503	uncharacterized LOC105323503
LOC105331842	tyrosine-protein kinase BAZ1B
LOC105331841	flap endonuclease GEN homolog 1
LOC109619196	complement C1q-like protein 4
LOC105331840	uncharacterized LOC105331840
LOC109619190	uncharacterized LOC109619190
LOC105331839	DNA damage-regulated autophagy modulator protein 2
LOC105331837	peroxidase-like protein
LOC105331854	peroxidase-like protein
LOC117687154	peroxidase-like protein
LOC105341168	peroxidase-like protein
LOC117687155	uncharacterized LOC117687155
LOC117682707	peroxidase-like protein
LOC105338364	calmodulin-1
LOC105338363	calmodulin
LOC105338361	calmodulin
LOC105338360	calmodulin
LOC105338369	calmodulin-like
LOC105338359	ELKS/Rab6-interacting/CAST family member 1
LOC105338358	vacuolar protein sorting-associated protein 11 homolog
LOC105338357	potassium voltage-gated channel protein Shaw
LOC105338356	neo-calmodulin
LOC105338354	low-density lipoprotein receptor-related protein 6
LOC105338355	low-density lipoprotein receptor-related protein 5
LOC105338353	DAZ-associated protein 2
LOC117682784	uncharacterized LOC117682784_ncRNA
LOC105326415	rho-related protein racA
LOC105326414	DBH-like monooxygenase protein 1 homolog
LOC105326417	protein gustavus
LOC105326416	rho-related protein racA
LOC109617077	rho-related protein racA
LOC105326418	60S ribosomal protein L23
LOC117687163	rho-related protein racA-like
LOC117682815	60S ribosomal protein L23
LOC105326419	LIM and SH3 domain protein 1
LOC105326420	uncharacterized LOC105326420
LOC105326424	interferon-induced protein 44-like
LOC105326423	interferon-induced protein 44-like
LOC105326425	uncharacterized LOC105326425
LOC105326426	X-ray repair cross-complementing protein 5
LOC117682867	uncharacterized LOC117682867_ncRNA
LOC105326427	double-stranded RNA-specific editase 1
LOC105326456	uncharacterized LOC105326456
LOC105326429	oxysterol-binding protein-related protein 11
LOC105326430	uncharacterized LOC105326430
LOC105326431	uncharacterized LOC105326431
LOC105326432	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial
LOC105326457	uncharacterized LOC105326457
LOC105337119	uncharacterized LOC105337119
LOC105326433	homeobox protein Hox-A1
LOC105326435	uncharacterized LOC105326435_ncRNA
LOC105326436	uncharacterized LOC105326436
LOC105326437	homeobox protein Hox-D3
LOC105326439	homeobox protein Hox-A5
LOC105326440	homeobox protein Hox-C5a
LOC105320483	uncharacterized LOC105320483_ncRNA
LOC109619795	uncharacterized LOC109619795
LOC105340021	homeobox protein Hox-B7
LOC105340020	uncharacterized LOC105340020_ncRNA
LOC105340019	uncharacterized LOC105340019_ncRNA
LOC117691994	uncharacterized LOC117691994_ncRNA
LOC105340018	homeobox protein Hox-A7
LOC117692288	uncharacterized LOC117692288_ncRNA
LOC105347997	uncharacterized LOC105347997_ncRNA
LOC105347995	homeobox protein Hox-B6a
LOC105347993	uncharacterized LOC105347993_ncRNA
LOC117683895	uncharacterized LOC117683895_ncRNA
LOC117687083	uncharacterized LOC117687083_ncRNA
LOC105331616	uncharacterized LOC105331616
LOC105347990	uncharacterized LOC105347990_ncRNA
LOC109621168	uncharacterized LOC109621168_ncRNA
LOC117680311	homeobox protein abdominal-B-like
LOC105323257	homeobox protein abdominal-B
LOC105323256	homeobox protein Hox-A9
LOC105323255	coatomer subunit zeta-1
LOC105323254	SWI/SNF complex subunit SMARCC2
LOC105323253	FMRFamide receptor
LOC109618019	glucoside xylosyltransferase 2-like
LOC105323251	thioredoxin domain-containing protein 17
LOC105323250	uncharacterized LOC105323250
LOC117680481	uncharacterized LOC117680481
LOC105323249	uncharacterized LOC105323249
LOC105323248	transmembrane protein 18
LOC105323247	gamma-tubulin complex component 6
LOC105323246	glycine-rich protein 23-like
LOC109618020	uncharacterized LOC109618020_ncRNA
LOC105323245	mucin-22-like
LOC105323244	uncharacterized LOC105323244
LOC109619489	uncharacterized LOC109619489
LOC105323243	nascent polypeptide-associated complex subunit alpha, muscle-specific form
LOC105323242	UPF0748 protein YngK
LOC105323241	uncharacterized LOC105323241
LOC105323240	uncharacterized LOC105323240
LOC105323239	uncharacterized LOC105323239_ncRNA
LOC117682288	probable L-cysteine desulfhydrase, chloroplastic
LOC105323290	putative L-cysteine desulfhydrase 1
LOC105323235	hercynylcysteine sulfoxide lyase
LOC105323233	uncharacterized LOC105323233
LOC105323234	uncharacterized LOC105323234
LOC105323232	NADH-cytochrome b5 reductase 3
LOC105323229	tumor protein p53-inducible protein 11
LOC117682364	uncharacterized LOC117682364_ncRNA
LOC105323227	DNA ligase 1
LOC105323226	FK506-binding protein 2
LOC105323225	uncharacterized LOC105323225
LOC105323223	uncharacterized LOC105323223
LOC117682404	uncharacterized LOC117682404_ncRNA
LOC117682392	uncharacterized LOC117682392
LOC117682405	DNA endonuclease RBBP8-like
LOC105323221	dual specificity tyrosine-phosphorylation-regulated kinase 4
LOC105323220	cAMP-regulated phosphoprotein 21
LOC105323219	coatomer subunit alpha
LOC105323217	vacuolar protein sorting-associated protein 13B
LOC105323216	glutamate receptor ionotropic, kainate 3
LOC105323215	glutamate receptor ionotropic, kainate 3
LOC117682470	uncharacterized LOC117682470_ncRNA
LOC117682472	uncharacterized LOC117682472_ncRNA
LOC117682469	uncharacterized LOC117682469
LOC105323214	potassium voltage-gated channel protein Shaw
LOC105323213	glutathione hydrolase 1 proenzyme
LOC105323212	peroxisome proliferator-activated receptor delta
LOC109617943	uncharacterized LOC109617943
LOC105335743	uncharacterized LOC105335743
LOC117684829	uncharacterized LOC117684829
LOC117687183	uncharacterized LOC117687183
LOC109620475	uncharacterized LOC109620475
LOC109620474	uncharacterized LOC109620474
LOC105342485	uncharacterized LOC105342485
LOC105345080	uncharacterized LOC105345080
LOC105342484	uncharacterized LOC105342484
LOC105342483	proline-rich transmembrane protein 1-like
LOC105342481	proline-rich transmembrane protein 1-like
LOC117684855	synapse differentiation-inducing gene protein 1-like
LOC117684858	uncharacterized LOC117684858_ncRNA
LOC105322226	uncharacterized LOC105322226
LOC105345571	transmembrane protein 91
LOC105319020	uncharacterized LOC105319020
LOC117680370	proline-rich transmembrane protein 1-like
LOC105319012	A disintegrin and metalloproteinase with thrombospondin motifs 16-like
LOC105319272	A disintegrin and metalloproteinase with thrombospondin motifs 16-like
LOC105319006	uncharacterized LOC105319006
LOC105318987	prolyl 4-hydroxylase 1
LOC105318976	bifunctional arginine demethylase and lysyl-hydroxylase JMJD6-like
LOC105318939	ankyrin repeat and SOCS box protein 2
LOC105318930	pseudouridine-metabolizing bifunctional protein C1861.05
LOC105318923	hypothetical protein
LOC105319267	F-box only protein 10
LOC105318875	potassium channel subfamily T member 2
LOC105318868	uncharacterized LOC105318868
LOC105318860	ras-related protein Rab-20-like
LOC105318849	acetylcholinesterase-like
LOC105318841	deleted in malignant brain tumors 1 protein-like
LOC105318825	serine/arginine repetitive matrix protein 1
LOC109617424	uncharacterized LOC109617424
LOC117684897	uncharacterized LOC117684897
LOC109620184	uncharacterized LOC109620184_ncRNA
LOC109618744	P2X purinoceptor 7
LOC105346926	uncharacterized LOC105346926
LOC117684907	uncharacterized LOC117684907
LOC117684908	uncharacterized LOC117684908
LOC117687192	uncharacterized LOC117687192
LOC105342026	cytosolic non-specific dipeptidase
LOC117690252	uncharacterized LOC117690252
LOC105342027	cytosolic non-specific dipeptidase-like
LOC109620420	sodium/potassium/calcium exchanger 1-like
LOC105342022	calponin homology domain-containing protein DDB_G0272472
LOC105342021	uncharacterized LOC105342021
LOC105342020	protein pitchfork
LOC105342019	general transcription factor IIH subunit 1
LOC105342018	MOXD1 homolog 1
LOC105342017	vesicular glutamate transporter 2
LOC105342016	NFX1-type zinc finger-containing protein 1
LOC105342014	GTPase HRas
LOC105342013	zinc finger protein 675-like
LOC105342012	uncharacterized LOC105342012
LOC105340508	protein mono-ADP-ribosyltransferase PARP12
LOC105340509	uncharacterized LOC105340509
LOC109620264	myoneurin
LOC105340512	glyceraldehyde-3-phosphate dehydrogenase
LOC105340513	caprin-1
LOC105340515	uncharacterized LOC105340515
LOC117687203	glutamic acid-rich protein-like
LOC105340516	serine/threonine-protein kinase BRSK2
LOC105340518	uncharacterized LOC105340518
LOC105340523	ferredoxin-fold anticodon-binding domain-containing protein 1
LOC105340522	uncharacterized LOC105340522
LOC105340521	protein SPT2 homolog
LOC105340524	leucine-rich repeat-containing protein 72
LOC105340525	uncharacterized LOC105340525
LOC117691716	uncharacterized LOC117691716_ncRNA
LOC105340526	cytochrome P450 27C1
LOC117680419	uncharacterized LOC117680419
LOC105340527	uncharacterized LOC105340527
LOC117692139	uncharacterized LOC117692139
LOC105331897	uncharacterized LOC105331897
LOC109617279	uncharacterized LOC109617279
LOC105317484	uncharacterized LOC105317484
LOC109617282	uncharacterized LOC109617282
LOC105317485	uncharacterized LOC105317485
LOC105317487	hemicentin-1
LOC105327170	coadhesin-like
LOC117692541	uncharacterized LOC117692541_ncRNA
LOC105317489	serine-rich adhesin for platelets
LOC105317491	uncharacterized LOC105317491
LOC105317492	KRR1 small subunit processome component homolog
LOC105317493	prolyl 4-hydroxylase subunit alpha-1-like
LOC105317494	chitin synthase chs-2
LOC117692724	uncharacterized LOC117692724_ncRNA
LOC105317495	prolyl 4-hydroxylase subunit alpha-1
LOC105317496	MORN repeat-containing protein 2
LOC105317497	dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial
LOC105317498	uncharacterized LOC105317498
LOC105317501	transmembrane 7 superfamily member 3
LOC105317500	uridine 5'-monophosphate synthase
LOC105317502	DNA-directed RNA polymerase II subunit RPB4
LOC105317504	uncharacterized LOC105317504
LOC105317526	uncharacterized LOC105317526
LOC109617655	uncharacterized LOC109617655_ncRNA
LOC105317505	uncharacterized LOC105317505
LOC105317506	40S ribosomal protein S11
LOC105317507	uncharacterized LOC105317507
LOC105345332	heme transporter hrg1-A
LOC105345358	transmembrane protein 245
LOC105345333	phosphoacetylglucosamine mutase
LOC105345334	uncharacterized LOC105345334
LOC105345335	uncharacterized LOC105345335_ncRNA
LOC105345336	26S proteasome non-ATPase regulatory subunit 9
LOC105345337	membrane progestin receptor gamma-B
LOC105329330	succinate dehydrogenase assembly factor 3, mitochondrial
LOC109618879	sulfotransferase 1C4-like
LOC105329332	sulfotransferase family cytosolic 1B member 1
LOC105329329	uncharacterized LOC105329329
LOC117680771	uncharacterized LOC117680771_ncRNA
LOC105329328	uncharacterized LOC105329328
LOC105329326	uncharacterized LOC105329326
LOC105329325	UHRF1-binding protein 1-like
LOC105324474	protein trapped in endoderm-1
LOC105324473	N66 matrix protein
LOC105324472	tetraspanin-4
LOC105339389	uncharacterized LOC105339389
LOC105339388	solute carrier organic anion transporter family member 4C1
LOC109617286	uncharacterized LOC109617286
LOC105317558	jmjC domain-containing protein E-like
LOC105317560	bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7
LOC105317561	uncharacterized LOC105317561
LOC105317562	uncharacterized LOC105317562
LOC105317566	uncharacterized LOC105317566
LOC117681262	E3 ubiquitin-protein ligase TRIM71-like
LOC117687209	frizzled and smoothened-like protein O
LOC117687218	E3 ubiquitin-protein ligase TRIM71-like
LOC105331442	hemicentin-1
LOC105331435	homeobox protein 6
LOC105328178	titin
LOC105320451	putative uncharacterized transmembrane protein DDB_G0285049
LOC117687229	protein eyes shut homolog
LOC117687238	basement membrane-specific heparan sulfate proteoglycan core protein-like
LOC117692829	uncharacterized LOC117692829
LOC105344537	uncharacterized LOC105344537
LOC105341790	organic cation transporter protein
LOC105341780	protocadherin Fat 3
LOC105341764	glycoprotein 3-alpha-L-fucosyltransferase A-like
LOC117692849	uncharacterized LOC117692849_ncRNA
LOC105341732	uncharacterized LOC105341732
LOC117692853	uncharacterized LOC117692853_ncRNA
LOC105341723	hairy/enhancer-of-split related with YRPW motif protein 1
LOC117692851	uncharacterized LOC117692851_ncRNA
LOC105341957	origin recognition complex subunit 4
LOC105317911	zinc transporter 1
LOC105317914	oxysterol-binding protein-related protein 8
LOC105318684	uncharacterized LOC105318684
LOC105317913	RNA polymerase-associated protein CTR9 homolog
LOC109617331	uncharacterized LOC109617331
LOC105317915	uncharacterized LOC105317915
LOC105317917	protocadherin Fat 4
LOC105319127	protocadherin alpha-6
LOC105319126	uncharacterized LOC105319126
LOC117692889	uncharacterized LOC117692889
LOC105319125	dynein assembly factor 1, axonemal
LOC105319124	V-type proton ATPase subunit C 1
LOC105319122	ephrin-B2
LOC105319121	myotrophin homolog
LOC105340437	acyl-CoA synthetase short-chain family member 3, mitochondrial
LOC105334741	uncharacterized LOC105334741_ncRNA
LOC105340438	isochorismatase domain-containing protein 2
LOC105340439	GDH/6PGL endoplasmic bifunctional protein
LOC117680600	fibrinogen gamma chain-like
LOC105331858	ficolin-1-A
LOC117687251	uncharacterized protein K02A2.6-like
LOC117692906	uncharacterized LOC117692906_ncRNA
LOC105331871	ficolin-1-A
LOC105331862	uncharacterized LOC105331862_ncRNA
LOC105331863	uncharacterized LOC105331863
LOC105331864	protein FAM124A
LOC105331865	putative ammonium transporter 1
LOC105331866	putative ammonium transporter 1
LOC117692910	uncharacterized LOC117692910
LOC105331867	putative ammonium transporter 1
LOC117692915	ammonium transporter 1 member 3-like
LOC105331868	putative ammonium transporter 1
LOC105331869	putative ammonium transporter 1
LOC105335381	uncharacterized LOC105335381
LOC105335380	uncharacterized LOC105335380
LOC117692931	uncharacterized LOC117692931
LOC105321384	uncharacterized LOC105321384_ncRNA
LOC105320115	ADP-ribosylation factor-like protein 1
LOC105320117	serine/arginine-rich splicing factor 6
Trnag-gcc	NA
LOC105325160	uncharacterized LOC105325160
LOC105325159	cysteine-rich motor neuron 1 protein-like
LOC105325157	CCN family member 3-like
LOC105325156	uncharacterized LOC105325156
LOC105325155	transmembrane protein 101
LOC105325152	calmodulin-like
LOC105325151	calmodulin-beta-like
LOC105325150	uncharacterized LOC105325150
LOC105325149	protocadherin-16
LOC105325148	GTP-binding protein Rheb
LOC105325147	peptidase inhibitor 15-like
LOC105325146	peptidase inhibitor R3HDML
LOC105325144	beta-1,3-galactosyltransferase 5
LOC105325143	cytochrome P450 3A24
LOC117692969	uncharacterized LOC117692969_ncRNA
LOC105325142	neuronal acetylcholine receptor subunit alpha-6
LOC105325141	uncharacterized LOC105325141
LOC105325140	myoneurin
LOC105325138	fez family zinc finger protein erm
LOC105325137	M-phase inducer phosphatase
LOC105325136	uncharacterized LOC105325136
LOC117693005	uncharacterized LOC117693005
LOC105346076	uncharacterized LOC105346076_ncRNA
LOC105346074	uncharacterized LOC105346074_ncRNA
LOC117693008	uncharacterized LOC117693008
LOC105346073	uncharacterized LOC105346073_ncRNA
LOC105346072	uncharacterized LOC105346072_ncRNA
LOC117693018	uncharacterized LOC117693018_ncRNA
LOC105348681	putative nuclease HARBI1
LOC105348677	probable G-protein coupled receptor 19
LOC105348676	uncharacterized LOC105348676
LOC105348673	cadherin-23
LOC105348672	uncharacterized LOC105348672
LOC105348670	uncharacterized LOC105348670_ncRNA
LOC117692561	ATP-dependent DNA helicase Q-like 2
LOC105345806	uncharacterized LOC105345806_ncRNA
LOC105348667	uncharacterized LOC105348667_ncRNA
LOC105348666	uncharacterized LOC105348666_ncRNA
LOC117692562	uncharacterized LOC117692562_ncRNA
LOC105348665	uncharacterized LOC105348665_ncRNA
LOC117692565	uncharacterized LOC117692565_ncRNA
LOC105348663	uncharacterized LOC105348663_ncRNA
LOC109617159	uncharacterized LOC109617159_ncRNA
LOC105348662	uncharacterized LOC105348662_ncRNA
LOC117692568	uncharacterized LOC117692568_ncRNA
LOC105348661	uncharacterized LOC105348661_ncRNA
LOC105348660	keratin-associated protein 21-2
LOC105348659	TNF receptor-associated factor 6
LOC105348658	ubiquitin-conjugating enzyme E2 Z
LOC105342443	ATP-dependent DNA helicase Q1-like
LOC105342445	uncharacterized LOC105342445
LOC105342444	uncharacterized LOC105342444
LOC105342446	microtubule-associated proteins 1A/1B light chain 3A
LOC105342447	ADP-ribosylation factor 6
LOC105342449	neuronal acetylcholine receptor subunit alpha-2
LOC105342450	protein FAM199X
LOC105342451	uncharacterized LOC105342451_ncRNA
LOC105342452	uncharacterized LOC105342452
LOC105342453	tetraspanin-1
LOC105342476	uncharacterized LOC105342476
LOC105342454	uncharacterized LOC105342454
LOC105342455	uncharacterized LOC105342455
LOC105342456	protein adenylyltransferase SelO, mitochondrial
LOC117692619	uncharacterized LOC117692619_ncRNA
LOC117692626	uncharacterized LOC117692626_ncRNA
LOC117692614	uncharacterized LOC117692614
LOC117692616	uncharacterized LOC117692616
LOC105342457	arrestin domain-containing protein 5
LOC105342458	uncharacterized LOC105342458
LOC105342459	zinc finger protein 385D
LOC105342461	calmodulin-regulated spectrin-associated protein 1
LOC105342462	cartilage acidic protein 1
LOC105342477	DNA repair and recombination protein RAD54-like
LOC105342359	uncharacterized LOC105342359
LOC105342463	clathrin light chain A
LOC105342478	tubulin-specific chaperone cofactor E-like protein
LOC105333454	U11/U12 small nuclear ribonucleoprotein 25 kDa protein
LOC105333451	DNA-directed RNA polymerase III subunit RPC10
LOC105333455	uncharacterized LOC105333455
LOC109619415	uncharacterized LOC109619415_ncRNA
LOC105333456	uncharacterized LOC105333456
LOC105333492	ankyrin repeat-containing protein DDB_G0279043
LOC117692687	salivary glue protein Sgs-3-like
LOC105333458	HEAT repeat-containing protein 1 homolog
LOC105333459	PR domain zinc finger protein 12
LOC105333460	E3 ubiquitin-protein ligase Siah1
LOC117687267	mucin-17-like
LOC117692701	uncharacterized LOC117692701_ncRNA
LOC117692702	uncharacterized LOC117692702_ncRNA
LOC105317347	eukaryotic translation initiation factor 4 gamma 2-like
LOC105317339	cytochrome c oxidase assembly protein COX18, mitochondrial-like
LOC105317338	uncharacterized LOC105317338
LOC105317335	sulfotransferase 1C4
LOC105317337	sulfotransferase 1C4
LOC117692715	uncharacterized LOC117692715
LOC117680416	uncharacterized LOC117680416
LOC117692721	uncharacterized LOC117692721_ncRNA
LOC105329895	uncharacterized LOC105329895
LOC105329896	uncharacterized LOC105329896
LOC105329897	double-stranded RNA-specific editase 1-like
LOC105329900	uncharacterized LOC105329900
LOC105329898	sodium-coupled monocarboxylate transporter 1
LOC105333209	uncharacterized LOC105333209
LOC105333185	zinc transporter ZIP10
LOC105333186	uncharacterized LOC105333186
LOC105333189	uncharacterized LOC105333189
LOC105333188	uncharacterized LOC105333188
LOC105333187	uncharacterized LOC105333187
LOC105333190	uncharacterized LOC105333190
LOC105333192	tubulin epsilon chain
LOC105333191	tripartite motif-containing protein 2
LOC105333193	rhodopsin, GQ-coupled
LOC117690902	aryl hydrocarbon receptor nuclear translocator-like protein 1
LOC117693025	uncharacterized LOC117693025
LOC117690076	uncharacterized LOC117690076_ncRNA
LOC105333210	protein cycle
LOC105333195	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial
LOC105333196	uncharacterized LOC105333196
LOC105333198	dynamin-binding protein-like
LOC117690883	uncharacterized LOC117690883
LOC105333199	uncharacterized LOC105333199
LOC105333200	uncharacterized LOC105333200
LOC117683174	uncharacterized LOC117683174
LOC117683199	uncharacterized LOC117683199
LOC117687285	uncharacterized LOC117687285
LOC105347033	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1
LOC105347032	SAP30-binding protein
LOC105347031	kinesin-like protein KIF27
LOC105347030	axonemal 84 kDa protein
LOC105347029	carboxy-terminal kinesin 2
LOC105347028	uncharacterized LOC105347028
LOC105347026	KICSTOR complex protein ITFG2
LOC105347025	uncharacterized LOC105347025
LOC109621074	uncharacterized LOC109621074
LOC117683256	beta-1,3-galactosyltransferase 1-like
LOC117680308	spore coat protein SP65-like
LOC117683272	spore coat protein SP65-like
LOC117683276	neurogenic locus notch homolog protein 1-like
LOC117683280	integumentary mucin C.1-like
LOC117683284	atrial natriuretic peptide receptor 2-like
