GOID,p.value,gene,padj,log2FoldChange,description,GeneID,genomic_accession,start,end,GOterm,GOSlim,GOcat
GO:0006589,0.00092,LOC105348387,0.0000510518026344462,-1.73809089096617,tyramine beta-hydroxylase,105348387,NC_047560.1,26770247,26782398,octopamine biosynthetic process,cell-cell signaling,P
GO:0006897,0.00011,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28496705,28507031,endocytosis,cell organization and biogenesis,P
GO:0006897,0.00011,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28498194,28507031,endocytosis,transport,P
GO:0006897,0.00011,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28498194,28507031,endocytosis,cell organization and biogenesis,P
GO:0006897,0.00011,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28496705,28507031,endocytosis,transport,P
GO:0006897,0.00011,LOC105322227,0.00255799958384532,2.48821551777984,low-density lipoprotein receptor-related protein 4,105322227,NC_047562.1,38553445,38573273,endocytosis,transport,P
GO:0006897,0.00011,LOC105322227,0.00255799958384532,2.48821551777984,low-density lipoprotein receptor-related protein 4,105322227,NC_047562.1,38553445,38573273,endocytosis,cell organization and biogenesis,P
GO:0006897,0.00011,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,endocytosis,cell organization and biogenesis,P
GO:0006897,0.00011,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,endocytosis,transport,P
GO:0006897,0.00011,LOC105343725,0.0011160301207321,-1.86211590855535,galactose-specific lectin nattectin,105343725,NC_047559.1,40935900,40938664,endocytosis,cell organization and biogenesis,P
GO:0006897,0.00011,LOC105343725,0.0011160301207321,-1.86211590855535,galactose-specific lectin nattectin,105343725,NC_047559.1,40935900,40938664,endocytosis,transport,P
GO:0007049,0.00000101905487186187106,LOC117691520,0.000635927273616381,2.39081427575797,uncharacterized protein LOC117691520 isoform X2,117691520,NC_047563.1,8053916,8123190,cell cycle,cell cycle and proliferation,P
GO:0007049,0.00000101905487186187106,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970574,cell cycle,cell cycle and proliferation,P
GO:0007049,0.00000101905487186187106,LOC117691520,0.000635927273616381,2.39081427575797,uncharacterized protein LOC117691520 isoform X2,117691520,NC_047563.1,8053916,8122220,cell cycle,cell cycle and proliferation,P
GO:0007049,0.00000101905487186187106,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970573,cell cycle,cell cycle and proliferation,P
GO:0007049,0.00000101905487186187106,LOC105325816,0.00581092087632361,2.3947334371401,uncharacterized protein LOC105325816,105325816,NC_047559.1,52465589,52475232,cell cycle,cell cycle and proliferation,P
GO:0007049,0.00000101905487186187106,LOC105325816,0.00581092087632361,2.3947334371401,uncharacterized protein LOC105325816,105325816,NC_047559.1,52464479,52475232,cell cycle,cell cycle and proliferation,P
GO:0007156,0.00543,LOC105319201,0.0380669019091699,1.64094892473242,cadherin-23,105319201,NC_047568.1,8262282,8289734,homophilic cell adhesion,cell adhesion,P
GO:0007156,0.00543,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19154982,homophilic cell adhesion,cell adhesion,P
GO:0007156,0.00543,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19155722,homophilic cell adhesion,cell adhesion,P
GO:0007156,0.00543,LOC105324626,0.000256029444367289,2.24912353292436,protocadherin Fat 1,105324626,NC_047568.1,20077259,20105858,homophilic cell adhesion,cell adhesion,P
GO:0007601,0.00004122883975644809365,LOC105319201,0.0380669019091699,1.64094892473242,cadherin-23,105319201,NC_047568.1,8262282,8289734,visual perception,other biological processes,P
GO:0007601,0.00004122883975644809365,LOC117691520,0.000635927273616381,2.39081427575797,uncharacterized protein LOC117691520 isoform X2,117691520,NC_047563.1,8053916,8123190,visual perception,other biological processes,P
GO:0007601,0.00004122883975644809365,LOC117691520,0.000635927273616381,2.39081427575797,uncharacterized protein LOC117691520 isoform X2,117691520,NC_047563.1,8053916,8122220,visual perception,other biological processes,P
GO:0009268,0.00355,LOC105320186,0.0134964229912012,-1.61323108002313,arylsulfatase B isoform X1,105320186,NC_047564.1,4182499,4194850,response to pH,other biological processes,P
GO:0009268,0.00355,LOC105320186,0.0134964229912012,-1.61323108002313,arylsulfatase B isoform X1,105320186,NC_047564.1,4182499,4193409,response to pH,other biological processes,P
GO:0009650,0.00080,LOC105328812,0.00176686171030239,1.98400651860605,microfibril-associated glycoprotein 4 isoform X1,105328812,NC_047561.1,3299177,3303141,UV protection,other biological processes,P
GO:0009650,0.00080,LOC105328812,0.00176686171030239,1.98400651860605,microfibril-associated glycoprotein 4 isoform X1,105328812,NC_047561.1,3299145,3303141,UV protection,other biological processes,P
GO:0009953,0.00000143421924687065363,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,dorsal/ventral pattern formation,developmental processes,P
GO:0009954,0.00000648041684282481668,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28496705,28507031,proximal/distal pattern formation,developmental processes,P
GO:0009954,0.00000648041684282481668,LOC105322227,0.00255799958384532,2.48821551777984,low-density lipoprotein receptor-related protein 4,105322227,NC_047562.1,38553445,38573273,proximal/distal pattern formation,developmental processes,P
GO:0009954,0.00000648041684282481668,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28498194,28507031,proximal/distal pattern formation,developmental processes,P
GO:0009954,0.00000648041684282481668,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,proximal/distal pattern formation,developmental processes,P
GO:0010224,0.00000002471366806766948,LOC117685768,0.00000551020834228452,3.41437256484218,uncharacterized protein LOC117685768 isoform X2,117685768,NW_022994844.1,17222,25997,response to UV-B,other biological processes,P
GO:0010224,0.00000002471366806766948,LOC117685768,0.00000551020834228452,3.41437256484218,uncharacterized protein LOC117685768 isoform X2,117685768,NW_022994844.1,17222,25999,response to UV-B,other biological processes,P
GO:0010712,0.00322,LOC105328812,0.00176686171030239,1.98400651860605,microfibril-associated glycoprotein 4 isoform X1,105328812,NC_047561.1,3299145,3303141,regulation of collagen metabolic process,other metabolic processes,P
GO:0010712,0.00322,LOC105328812,0.00176686171030239,1.98400651860605,microfibril-associated glycoprotein 4 isoform X1,105328812,NC_047561.1,3299177,3303141,regulation of collagen metabolic process,other metabolic processes,P
GO:0010976,0.00066,LOC117686992,0.0385417699951739,1.65135091214621,cell death abnormality protein 1-like,117686992,NC_047560.1,64883289,64891609,positive regulation of neuron projection development,developmental processes,P
GO:0010976,0.00066,LOC105320186,0.0134964229912012,-1.61323108002313,arylsulfatase B isoform X1,105320186,NC_047564.1,4182499,4193409,positive regulation of neuron projection development,cell organization and biogenesis,P
GO:0010976,0.00066,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19154982,positive regulation of neuron projection development,cell organization and biogenesis,P
GO:0010976,0.00066,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19155722,positive regulation of neuron projection development,cell organization and biogenesis,P
GO:0010976,0.00066,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19155722,positive regulation of neuron projection development,developmental processes,P
GO:0010976,0.00066,LOC117686992,0.0385417699951739,1.65135091214621,cell death abnormality protein 1-like,117686992,NC_047560.1,64883289,64891609,positive regulation of neuron projection development,cell organization and biogenesis,P
GO:0010976,0.00066,LOC105320186,0.0134964229912012,-1.61323108002313,arylsulfatase B isoform X1,105320186,NC_047564.1,4182499,4194850,positive regulation of neuron projection development,developmental processes,P
GO:0010976,0.00066,LOC105320186,0.0134964229912012,-1.61323108002313,arylsulfatase B isoform X1,105320186,NC_047564.1,4182499,4193409,positive regulation of neuron projection development,developmental processes,P
GO:0010976,0.00066,LOC105320186,0.0134964229912012,-1.61323108002313,arylsulfatase B isoform X1,105320186,NC_047564.1,4182499,4194850,positive regulation of neuron projection development,cell organization and biogenesis,P
GO:0010976,0.00066,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19154982,positive regulation of neuron projection development,developmental processes,P
GO:0014029,0.00278,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467563,28487143,neural crest formation,developmental processes,P
GO:0014029,0.00278,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467563,28487143,neural crest formation,cell organization and biogenesis,P
GO:0014029,0.00278,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467562,28479980,neural crest formation,cell organization and biogenesis,P
GO:0014029,0.00278,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467562,28479980,neural crest formation,developmental processes,P
GO:0016055,0.00027,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467563,28487143,Wnt receptor signaling pathway,signal transduction,P
GO:0016055,0.00027,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,Wnt receptor signaling pathway,signal transduction,P
GO:0016055,0.00027,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467562,28479980,Wnt receptor signaling pathway,signal transduction,P
GO:0016358,0.00072,LOC117686992,0.0385417699951739,1.65135091214621,cell death abnormality protein 1-like,117686992,NC_047560.1,64883289,64891609,dendrite development,cell organization and biogenesis,P
GO:0016358,0.00072,LOC117686992,0.0385417699951739,1.65135091214621,cell death abnormality protein 1-like,117686992,NC_047560.1,64883289,64891609,dendrite development,developmental processes,P
GO:0018026,0.00000000000000000000022,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970573,peptidyl-lysine monomethylation,protein metabolism,P
GO:0018026,0.00000000000000000000022,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970574,peptidyl-lysine monomethylation,protein metabolism,P
GO:0018149,0.00019,LOC117685768,0.00000551020834228452,3.41437256484218,uncharacterized protein LOC117685768 isoform X2,117685768,NW_022994844.1,17222,25997,peptide cross-linking,protein metabolism,P
GO:0018149,0.00019,LOC117685768,0.00000551020834228452,3.41437256484218,uncharacterized protein LOC117685768 isoform X2,117685768,NW_022994844.1,17222,25999,peptide cross-linking,protein metabolism,P
GO:0018153,0.00000002634813253460508,LOC117685768,0.00000551020834228452,3.41437256484218,uncharacterized protein LOC117685768 isoform X2,117685768,NW_022994844.1,17222,25997,isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine,protein metabolism,P
GO:0018153,0.00000002634813253460508,LOC117685768,0.00000551020834228452,3.41437256484218,uncharacterized protein LOC117685768 isoform X2,117685768,NW_022994844.1,17222,25999,isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine,protein metabolism,P
GO:0021794,0.00181,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467563,28487143,thalamus development,developmental processes,P
GO:0021794,0.00181,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467562,28479980,thalamus development,developmental processes,P
GO:0030178,0.00000000942617673131990,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,negative regulation of Wnt receptor signaling pathway,signal transduction,P
GO:0030182,0.00369,LOC105335514,0.0184592142021892,1.66257538935656,ALX homeobox protein 1,105335514,NC_047568.1,47047492,47051759,neuron differentiation,developmental processes,P
GO:0030216,0.00535,LOC117685768,0.00000551020834228452,3.41437256484218,uncharacterized protein LOC117685768 isoform X2,117685768,NW_022994844.1,17222,25997,keratinocyte differentiation,other biological processes,P
GO:0030216,0.00535,LOC117685768,0.00000551020834228452,3.41437256484218,uncharacterized protein LOC117685768 isoform X2,117685768,NW_022994844.1,17222,25999,keratinocyte differentiation,other biological processes,P
GO:0030279,0.00000000008552931593901,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28496705,28507031,negative regulation of ossification,developmental processes,P
GO:0030279,0.00000000008552931593901,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,negative regulation of ossification,developmental processes,P
GO:0030279,0.00000000008552931593901,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28498194,28507031,negative regulation of ossification,developmental processes,P
GO:0030279,0.00000000008552931593901,LOC105322227,0.00255799958384532,2.48821551777984,low-density lipoprotein receptor-related protein 4,105322227,NC_047562.1,38553445,38573273,negative regulation of ossification,developmental processes,P
GO:0030299,0.00032,LOC105322194,0.00284049309268049,-1.85353320694411,uncharacterized protein LOC105322194 isoform X1,105322194,NC_047565.1,38557744,38570594,intestinal cholesterol absorption,transport,P
GO:0030326,0.00000315288542882099049,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,embryonic limb morphogenesis,developmental processes,P
GO:0030509,0.00000056493428419339620,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28498194,28507031,BMP signaling pathway,signal transduction,P
GO:0030509,0.00000056493428419339620,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,BMP signaling pathway,signal transduction,P
GO:0030509,0.00000056493428419339620,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28496705,28507031,BMP signaling pathway,signal transduction,P
GO:0030509,0.00000056493428419339620,LOC105322227,0.00255799958384532,2.48821551777984,low-density lipoprotein receptor-related protein 4,105322227,NC_047562.1,38553445,38573273,BMP signaling pathway,signal transduction,P
GO:0030917,0.00472,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467563,28487143,midbrain-hindbrain boundary development,developmental processes,P
GO:0030917,0.00472,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467562,28479980,midbrain-hindbrain boundary development,developmental processes,P
GO:0034392,0.00105,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467563,28487143,negative regulation of smooth muscle cell apoptosis,death,P
GO:0034392,0.00105,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467562,28479980,negative regulation of smooth muscle cell apoptosis,death,P
GO:0035261,0.00181,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467563,28487143,external genitalia morphogenesis,developmental processes,P
GO:0035261,0.00181,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467562,28479980,external genitalia morphogenesis,developmental processes,P
GO:0042420,0.00080,LOC105348387,0.0000510518026344462,-1.73809089096617,tyramine beta-hydroxylase,105348387,NC_047560.1,26770247,26782398,dopamine catabolic process,other metabolic processes,P
GO:0042420,0.00080,LOC105342404,0.00118071394690547,-1.65731803112925,tyramine beta-hydroxylase,105342404,NC_047560.1,26732838,26742060,dopamine catabolic process,other metabolic processes,P
GO:0042421,0.00092,LOC105348387,0.0000510518026344462,-1.73809089096617,tyramine beta-hydroxylase,105348387,NC_047560.1,26770247,26782398,norepinephrine biosynthetic process,other metabolic processes,P
GO:0042421,0.00092,LOC105342404,0.00118071394690547,-1.65731803112925,tyramine beta-hydroxylase,105342404,NC_047560.1,26732838,26742060,norepinephrine biosynthetic process,other metabolic processes,P
GO:0042475,0.00000000004844835708215,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,odontogenesis of dentine-containing tooth,developmental processes,P
GO:0042475,0.00000000004844835708215,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28496705,28507031,odontogenesis of dentine-containing tooth,developmental processes,P
GO:0042475,0.00000000004844835708215,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467562,28479980,odontogenesis of dentine-containing tooth,developmental processes,P
GO:0042475,0.00000000004844835708215,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28498194,28507031,odontogenesis of dentine-containing tooth,developmental processes,P
GO:0042475,0.00000000004844835708215,LOC105322227,0.00255799958384532,2.48821551777984,low-density lipoprotein receptor-related protein 4,105322227,NC_047562.1,38553445,38573273,odontogenesis of dentine-containing tooth,developmental processes,P
GO:0042475,0.00000000004844835708215,LOC105325698,0.00358848768408019,1.63056109939159,low-density lipoprotein receptor-related protein 4 isoform X1,105325698,NC_047567.1,28467563,28487143,odontogenesis of dentine-containing tooth,developmental processes,P
GO:0042733,0.00000000991854299904683,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28498194,28507031,embryonic digit morphogenesis,developmental processes,P
GO:0042733,0.00000000991854299904683,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,embryonic digit morphogenesis,developmental processes,P
GO:0042733,0.00000000991854299904683,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28496705,28507031,embryonic digit morphogenesis,developmental processes,P
GO:0042733,0.00000000991854299904683,LOC105322227,0.00255799958384532,2.48821551777984,low-density lipoprotein receptor-related protein 4,105322227,NC_047562.1,38553445,38573273,embryonic digit morphogenesis,developmental processes,P
GO:0043113,0.00000020707680897556359,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,receptor clustering,other metabolic processes,P
GO:0043113,0.00000020707680897556359,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,receptor clustering,cell organization and biogenesis,P
GO:0043113,0.00000020707680897556359,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,receptor clustering,signal transduction,P
GO:0043516,0.00000000000000000001479,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970574,regulation of DNA damage response, signal transduction by p53 class mediator,signal transduction,P
GO:0043516,0.00000000000000000001479,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970574,regulation of DNA damage response, signal transduction by p53 class mediator,stress response,P
GO:0043516,0.00000000000000000001479,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970573,regulation of DNA damage response, signal transduction by p53 class mediator,signal transduction,P
GO:0043516,0.00000000000000000001479,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970573,regulation of DNA damage response, signal transduction by p53 class mediator,stress response,P
GO:0043627,0.00851,LOC105320186,0.0134964229912012,-1.61323108002313,arylsulfatase B isoform X1,105320186,NC_047564.1,4182499,4194850,response to estrogen stimulus,other biological processes,P
GO:0043627,0.00851,LOC105320186,0.0134964229912012,-1.61323108002313,arylsulfatase B isoform X1,105320186,NC_047564.1,4182499,4193409,response to estrogen stimulus,other biological processes,P
GO:0045892,0.00012,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970574,negative regulation of transcription, DNA-dependent,RNA metabolism,P
GO:0045892,0.00012,LOC105339865,0.0251545792713811,1.74913386441641,uncharacterized protein LOC105339865 isoform X13,105339865,NW_022994844.1,945093,970573,negative regulation of transcription, DNA-dependent,RNA metabolism,P
GO:0048251,0.00649,LOC105328812,0.00176686171030239,1.98400651860605,microfibril-associated glycoprotein 4 isoform X1,105328812,NC_047561.1,3299177,3303141,elastic fiber assembly,cell organization and biogenesis,P
GO:0048251,0.00649,LOC105328812,0.00176686171030239,1.98400651860605,microfibril-associated glycoprotein 4 isoform X1,105328812,NC_047561.1,3299145,3303141,elastic fiber assembly,cell organization and biogenesis,P
GO:0048593,0.00191,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19154982,camera-type eye morphogenesis,developmental processes,P
GO:0048593,0.00191,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19155722,camera-type eye morphogenesis,developmental processes,P
GO:0048666,0.00366,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19155722,neuron development,developmental processes,P
GO:0048666,0.00366,LOC105324591,0.00000121992525922614,3.86318641178389,multiple epidermal growth factor-like domains protein 11 isoform X1,105324591,NC_047560.1,19150925,19154982,neuron development,developmental processes,P
GO:0048813,0.00034,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28498194,28507031,dendrite morphogenesis,cell organization and biogenesis,P
GO:0048813,0.00034,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28496705,28507031,dendrite morphogenesis,cell organization and biogenesis,P
GO:0048813,0.00034,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28498194,28507031,dendrite morphogenesis,developmental processes,P
GO:0048813,0.00034,LOC105325689,0.00430177599877952,2.35787417612096,low-density lipoprotein receptor-related protein 4-like isoform X2,105325689,NC_047567.1,28496705,28507031,dendrite morphogenesis,developmental processes,P
GO:0048813,0.00034,LOC117684968,0.000428664237490406,-1.81604595645739,low-density lipoprotein receptor-related protein 5-like isoform X1,117684968,NC_047568.1,56082172,56140658,dendrite morphogenesis,cell organization and biogenesis,P
