"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "cat" "description" "feature" "count" "plus_minus" "analysis"
"LOC105333234" 33.9422988224958 -1.93011497461281 0.714894824438742 0.000198302706919073 0.00673608366320865 "characterized" "fibroleukin isoform X1" "genome" 1 "-1" "triploid_heat"
"LOC117686727" 30.5368200947112 -1.9376176859033 0.503768788671025 4.55864234451673e-06 0.000380471303369281 "characterized" "short-chain collagen C4-like" "genome" 1 "-1" "triploid_heat"
"LOC117682909" 12.814793978635 -1.9397367956078 0.612008228259792 5.17309933818597e-05 0.00255127853724172 "characterized" "heavy metal-binding protein HIP-like isoform X1" "genome" 1 "-1" "triploid_heat"
"LOC105326443" 374.064362845055 -1.9899935220052 0.457664631647244 5.33545075763673e-07 6.11257075929252e-05 "characterized" "perlucin-like protein" "genome" 1 "-1" "triploid_heat"
"LOC105337779" 13.9739301574361 -2.03291268214739 0.421070821101403 6.79502289374439e-08 1.04445164395929e-05 "characterized" "microfibril-associated glycoprotein 4" "genome" 1 "-1" "triploid_heat"
"LOC105342748" 19.6833990550768 -2.0778454578867 0.368244965379871 8.5189603399047e-10 2.41741882260834e-07 "characterized" "microfibril-associated glycoprotein 4" "genome" 1 "-1" "triploid_heat"
"LOC105330265" 124.146617923069 -2.08556599346018 0.419906357459149 2.80239506391972e-08 4.87643178811313e-06 "characterized" "fibroleukin isoform X1" "genome" 1 "-1" "triploid_heat"
"LOC105339575" 41.9138299934447 -2.09327190178117 0.292551937316791 3.77708639383321e-14 3.3175408825835e-11 "characterized" "betaine--homocysteine S-methyltransferase 1" "genome" 1 "-1" "triploid_heat"
"LOC117683620" 18.8021548701191 -2.09494598143646 0.76299749114144 0.000186188093206779 0.006479696941885 "characterized" "short-chain collagen C4-like" "genome" 1 "-1" "triploid_heat"
"LOC105330870" 15.8690297738529 -2.11880836020198 0.716383432909512 0.00010084157460883 0.00419869716401775 "characterized" "nuclear receptor ROR-alpha A" "genome" 1 "-1" "triploid_heat"
"LOC105329085" 674.974310858042 -2.16763108711611 0.202773979799978 5.35377417975e-28 2.46875911863722e-24 "characterized" "high mobility group-T protein" "genome" 1 "-1" "triploid_heat"
"LOC117681472" 29.1627311971969 -2.1901053785384 0.848298754299647 0.000265793681373642 0.00832353896933247 "characterized" "sacsin-like" "genome" 1 "-1" "triploid_heat"
"LOC117689844" 31.9271876699867 -2.31857374740064 0.645925972291009 1.11044021605918e-05 0.000778785923392074 "characterized" "microfibril-associated glycoprotein 4-like" "genome" 1 "-1" "triploid_heat"
"LOC105336630" 29.6579091357204 -2.33388691252973 0.584898131087157 2.34515345225916e-06 0.000214140373400595 "characterized" "complement C1q-like protein 4 isoform X1" "genome" 1 "-1" "triploid_heat"
"LOC105333638" 45.6091326684598 -2.41340975630466 0.484023328604473 2.50362575041793e-08 4.44032470831335e-06 "characterized" "C-type lectin mannose-binding isoform-like isoform X2" "genome" 1 "-1" "triploid_heat"
"LOC105320276" 323.161588091448 -2.41734600531243 0.259488133480353 5.39756192812452e-22 8.29650248035473e-19 "characterized" "translation initiation factor IF-2-like isoform X7" "genome" 1 "-1" "triploid_heat"
"LOC105329127" 84.1594668013757 -2.47913315836794 0.545554720983448 2.02192615174274e-07 2.64499488431878e-05 "characterized" "complement C1q tumor necrosis factor-related protein 3-like" "genome" 1 "-1" "triploid_heat"
"LOC117686834" 53.4579510752187 -2.52593582429305 0.552091894493866 1.80054176487044e-07 2.42416006226535e-05 "characterized" "perlucin-like protein isoform X1" "genome" 1 "-1" "triploid_heat"
"LOC105321620" 24.4749958648028 -2.60417585114848 0.641159990497331 1.8002407894369e-06 0.000168848885013755 "characterized" "heavy metal-binding protein HIP" "genome" 1 "-1" "triploid_heat"
"LOC105327216" 51.2206360189895 -3.0279266563007 0.73731294621472 1.30471311477393e-06 0.000128007624478751 "characterized" "complement C1q subcomponent subunit B-like" "genome" 1 "-1" "triploid_heat"
"LOC105320320" 59.2475746113833 -3.48798373901614 0.625710913727178 8.76024002528319e-10 2.4482216252477e-07 "characterized" "complement C1q-like protein 4 isoform X2" "genome" 1 "-1" "triploid_heat"
"LOC105318074" 429.472796162666 -3.93878560751798 0.3743376864614 2.94128562989766e-27 9.04200224057706e-24 "characterized" "perlucin-like protein" "genome" 1 "-1" "triploid_heat"
